metric,value
AP,0.37599106340071553
AP@0.50,0.8491424873223388
AP@0.75,0.2776869370112127
AP_small,0.30911088697996153
AP_medium,0.4211324512851038
AP_large,0.34040263117549463
AR@1,0.4396226415094341
AR@10,0.4783018867924528
AR@100,0.4811320754716982
AR_small,0.45294117647058824
AR_medium,0.5253731343283582
AR_large,0.36818181818181817
