metric,value
AP,0.3322234836196011
AP@0.50,0.8312184105478821
AP@0.75,0.21456709619804862
AP_small,0.35796820634674326
AP_medium,0.35561399217658407
AP_large,0.3332026222839287
AR@1,0.43301886792452826
AR@10,0.46037735849056605
AR@100,0.4716981132075472
AR_small,0.4294117647058823
AR_medium,0.5059701492537314
AR_large,0.39999999999999997
