metric,value
AP,0.3209789509249116
AP@0.50,0.7347277417716278
AP@0.75,0.24310275703838374
AP_small,0.2837817196894778
AP_medium,0.3600724813772795
AP_large,0.3071206219904102
AR@1,0.42169811320754713
AR@10,0.4943396226415094
AR@100,0.49528301886792453
AR_small,0.4294117647058823
AR_medium,0.5328358208955224
AR_large,0.4318181818181818
